Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
315,-2.8,6.1,21,13,33,5,32,31,231,9,10
316,-7.5,-7.1,2,2,4,0,6,6,45,0,4
317,-2.3,2.7,3,5,32,2,14,2,59,4,3
318,1.2,-9.1,4,5,5,1,8,0,73,1,5
319,7.5,12.9,4,0,14,2,13,8,27,2,4
320,13.1,5.8,20,16,36,3,27,28,222,4,19
321,-11.7,-14.8,1,0,0,0,1,0,0,0,0
322,0.9,-7.8,11,11,32,2,10,1,194,2,8
323,0.5,4.8,61,38,85,16,80,6,742,19,59
324,2.6,0.5,47,30,32,4,20,20,850,8,23
325,-4.2,3.2,9,1,20,1,9,6,32,3,3
326,3.8,2.5,18,7,63,9,28,7,169,12,37
327,5.7,-0.1,19,11,74,13,42,1,83,12,19
328,1.4,-6.8,14,5,36,1,16,11,92,4,17
329,-6.6,1.7,7,5,29,6,13,4,36,2,14
330,-7.1,-3.1,20,7,17,2,16,5,306,7,16
331,5.3,4.3,22,10,79,9,26,8,155,3,21
332,-4.3,-2.4,19,16,34,3,42,7,223,9,23
332,-3.3,1.6,16,14,30,3,31,7,194,7,20
332,19.5,17.4,0,0,1,0,2,0,11,0,0
332,-19.8,-16.1,3,2,3,0,9,0,18,2,3
333,-4.6,-4.6,18,12,72,5,23,12,207,6,7
334,5.4,9.2,47,21,51,2,36,14,403,8,24
335,-6.6,-5.6,2,4,2,3,5,0,24,1,2
336,11.6,3.4,68,37,51,23,86,12,609,19,39
337,17.3,19.5,0,0,2,0,1,0,0,0,0
338,-4.2,0.4,2,1,8,0,8,4,26,1,2
339,19.7,13.7,1,2,6,1,3,1,31,0,2
340,3.9,9.0,30,10,28,8,37,31,265,9,18
341,8.8,10.1,19,24,78,19,66,5,197,16,35
342,-0.1,-3.2,27,9,51,7,33,6,254,4,14
343,2.0,-0.9,83,66,69,17,126,21,739,28,48
344,25.0,23.0,3,0,0,0,0,1,18,0,0
345,23.4,27.7,2,0,4,0,3,0,10,2,4
346,-10.5,-5.4,52,12,38,8,49,7,269,12,29
347,16.7,24.8,0,0,1,0,0,0,2,0,0
348,-2.3,-1.3,18,6,34,5,18,4,196,6,19
349,-0.2,1.3,121,58,53,9,140,9,1161,26,92
350,10.7,8.7,3,2,14,0,2,0,14,0,0
351,1.1,1.0,39,25,84,20,84,8,202,26,24
351,-4.3,3.6,31,17,60,16,73,6,135,23,20
351,14.7,9.7,8,8,24,4,11,2,67,3,4
352,-5.7,-8.3,32,15,71,16,32,4,183,6,15
352,-5.3,-1.6,28,13,55,16,29,3,166,6,13
352,-8.0,-14.7,4,2,16,0,3,1,17,0,2
353,1.1,-2.0,34,11,30,4,39,10,610,13,28
354,6.4,-0.1,2,1,3,0,3,0,21,1,1
355,-2.6,-6.5,34,18,28,12,38,3,299,5,23
356,4.8,14.5,3,1,10,1,3,0,18,1,0
357,-4.4,-6.4,59,45,58,13,55,11,639,15,37
358,5.5,7.0,69,33,49,12,58,22,665,14,27
359,-3.0,-2.8,18,11,7,3,18,8,109,4,14
360,-1.8,-4.2,4,4,39,7,7,7,96,2,7
361,-1.1,5.1,38,10,35,4,27,10,260,3,24
362,-5.2,-9.2,16,8,39,7,33,2,92,10,10
363,-5.2,5.3,34,10,40,8,24,10,312,4,15
364,-3.7,1.1,81,34,32,4,57,19,651,7,15
364,-3.9,1.0,48,20,18,2,32,13,466,4,11
364,-3.5,1.2,33,14,14,2,25,6,185,3,4
365,2.0,-0.4,29,13,30,2,16,23,228,4,13
366,-42.9,-34.9,1,0,0,0,0,0,0,0,0
367,-2.7,-6.7,14,5,36,4,10,5,109,0,9
368,-11.5,-18.3,4,1,4,1,3,1,16,0,0
369,0.2,-2.2,28,13,85,13,41,15,134,10,9
370,-32.7,-31.7,3,0,1,0,0,1,7,0,0
370,-18.2,-24.0,0,0,0,0,0,0,0,0,0
